RSU_ID,Tier,Vehicles_Served,Computations,Cache_Hit_Rate,Avg_Latency_MS,Warnings_Issued,Routes_Computed,Emergencies_Handled
RSU_E1_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E2_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E3_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E4_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E5_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E6_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E7_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_E8_0_TIER2,2,0,0,0.00%,0.00,0,0,0
RSU_GAP0_TIER3,3,0,0,0.00%,0.00,0,0,0
RSU_GAP1_TIER3,3,0,0,0.00%,0.00,0,0,0
RSU_GAP2_TIER3,3,0,0,0.00%,0.00,0,0,0
RSU_J0_TIER1,1,0,0,0.00%,0.00,0,0,0
RSU_J1_TIER1,1,0,0,0.00%,0.00,0,0,0
