timestamp,bs_id,connected_vehicles,packets_sent,packets_received,avg_rssi,avg_snr,utilization
1.0,J2,0,0,0,0.0,0.0,0.00243605359317905
1.0,J3,0,0,0,0.0,0.0,0.00024525833878351864
2.0,J2,0,0,0,0.0,0.0,0.0007970618113620379
2.0,J3,0,0,0,0.0,0.0,0.0001944826760816229
3.0,J2,0,0,0,0.0,0.0,0.0007472527472527472
3.0,J3,0,0,0,0.0,0.0,0.00018175597656417056
4.0,J2,0,0,0,0.0,0.0,0.0006430868167202572
4.0,J3,0,0,0,0.0,0.0,0.00016624412950417688
5.0,J2,0,0,0,0.0,0.0,0.000586421243626981
5.0,J3,0,0,0,0.0,0.0,0.00016350110363244952
6.0,J2,0,0,0,0.0,0.0,0.0005442807098810109
6.0,J3,0,0,0,0.0,0.0,0.00016050904296483132
7.0,J2,0,0,0,0.0,0.0,0.0005431279091605882
7.0,J3,0,0,0,0.0,0.0,0.00018112387363591081
8.0,J2,0,0,0,0.0,0.0,0.0005145275742038245
8.0,J3,0,0,0,0.0,0.0,0.00017745205467297804
9.0,J2,0,0,0,0.0,0.0,0.0004922855256048508
9.0,J3,0,0,0,0.0,0.0,0.00017493986442160508
10.0,J2,0,0,0,0.0,0.0,0.0004696013765414396
10.0,J3,0,0,0,0.0,0.0,0.00017094077970363143
11.0,J2,0,0,0,0.0,0.0,0.00047115571531651453
11.0,J3,0,0,0,0.0,0.0,0.00017367198277698224
12.0,J2,0,0,0,0.0,0.0,0.0004636167597458648
12.0,J3,0,0,0,0.0,0.0,0.0001760803898055526
13.0,J2,0,0,0,0.0,0.0,0.0004517846907110244
13.0,J3,0,0,0,0.0,0.0,0.00017419889580377337
14.0,J2,0,0,0,0.0,0.0,0.00044332287546037375
14.0,J3,0,0,0,0.0,0.0,0.00016193739813615278
15.0,J2,0,0,0,0.0,0.0,0.00043680660019680836
15.0,J3,0,0,0,0.0,0.0,0.00017109183476439433
16.0,J2,0,0,0,0.0,0.0,0.00042582417582417585
16.0,J3,0,0,0,0.0,0.0,0.000168795235412328
17.0,J2,0,0,0,0.0,0.0,0.00041939452335274733
17.0,J3,0,0,0,0.0,0.0,0.00016709511568123393
18.0,J2,0,0,0,0.0,0.0,0.00041317520053244644
18.0,J3,0,0,0,0.0,0.0,0.00016838227238977048
19.0,J2,0,0,0,0.0,0.0,0.00041792430926398884
19.0,J3,0,0,0,0.0,0.0,0.0001659158652222983
20.0,J2,0,0,0,0.0,0.0,0.00041208841976102565
20.0,J3,0,0,0,0.0,0.0,0.00016583717369232783
21.0,J2,0,0,0,0.0,0.0,0.000415493613576612
21.0,J3,0,0,0,0.0,0.0,0.00016784275633517127
22.0,J2,0,0,0,0.0,0.0,0.00041838098710136624
22.0,J3,0,0,0,0.0,0.0,0.000171280276816609
23.0,J2,0,0,0,0.0,0.0,0.00041383626215013173
23.0,J3,0,0,0,0.0,0.0,0.0001744814210840665
24.0,J2,0,0,0,0.0,0.0,0.00041562283700221394
24.0,J3,0,0,0,0.0,0.0,0.00017783056499544002
25.0,J2,0,0,0,0.0,0.0,0.00040853957277091574
25.0,J3,0,0,0,0.0,0.0,0.00017802708510319325
26.0,J2,0,0,0,0.0,0.0,0.00040125166564357475
26.0,J3,0,0,0,0.0,0.0,0.00017625461921533833
27.0,J2,0,0,0,0.0,0.0,0.0003962925597160629
27.0,J3,0,0,0,0.0,0.0,0.00017665056057593873
28.0,J2,0,0,0,0.0,0.0,0.00039597821415234593
28.0,J3,0,0,0,0.0,0.0,0.0001827773153667919
29.0,J2,0,0,0,0.0,0.0,0.00038876257147276675
29.0,J3,0,0,0,0.0,0.0,0.00018436452280316015
30.0,J2,0,0,0,0.0,0.0,0.00038316572050455476
30.0,J3,0,0,0,0.0,0.0,0.00017921146953405018
31.0,J2,0,0,0,0.0,0.0,0.0003842034182461696
31.0,J3,0,0,0,0.0,0.0,0.00017941456639758785
32.0,J2,0,0,0,0.0,0.0,0.00038234665258021105
32.0,J3,0,0,0,0.0,0.0,0.0001857557938863752
33.0,J2,0,0,0,0.0,0.0,0.00038108080378735694
33.0,J3,0,0,0,0.0,0.0,0.00018523731703244943
34.0,J2,0,0,0,0.0,0.0,0.0003743352883270174
34.0,J3,0,0,0,0.0,0.0,0.00018442920933069932
35.0,J2,0,0,0,0.0,0.0,0.00036791377940579624
35.0,J3,0,0,0,0.0,0.0,0.00018361257746155613
36.0,J2,0,0,0,0.0,0.0,0.00037161528778423546
36.0,J3,0,0,0,0.0,0.0,0.0001882408502694406
37.0,J2,0,0,0,0.0,0.0,0.0003699067314346957
37.0,J3,0,0,0,0.0,0.0,0.00018843139526950563
38.0,J2,0,0,0,0.0,0.0,0.0003640331069645337
38.0,J3,0,0,0,0.0,0.0,0.0001885381447425243
39.0,J2,0,0,0,0.0,0.0,0.0003634273042728374
39.0,J3,0,0,0,0.0,0.0,0.00018756264899956338
40.0,J2,0,0,0,0.0,0.0,0.0003644165690729143
40.0,J3,0,0,0,0.0,0.0,0.0001873569908075485
41.0,J2,0,0,0,0.0,0.0,0.0003582200830410458
41.0,J3,0,0,0,0.0,0.0,0.00018513331052284168
42.0,J2,0,0,0,0.0,0.0,0.00035512503990434293
42.0,J3,0,0,0,0.0,0.0,0.00018389529850450684
43.0,J2,0,0,0,0.0,0.0,0.0003568273735212074
43.0,J3,0,0,0,0.0,0.0,0.00018136269332759324
44.0,J2,0,0,0,0.0,0.0,0.0003539548435644412
44.0,J3,0,0,0,0.0,0.0,0.00017982185173777345
45.0,J2,0,0,0,0.0,0.0,0.00035171735092728634
45.0,J3,0,0,0,0.0,0.0,0.0001788055787340565
46.0,J2,0,0,0,0.0,0.0,0.0003514761156003263
46.0,J3,0,0,0,0.0,0.0,0.00017715877624426753
47.0,J2,0,0,0,0.0,0.0,0.00034813620461255956
47.0,J3,0,0,0,0.0,0.0,0.0001754656572902716
48.0,J2,0,0,0,0.0,0.0,0.0003439934220195512
48.0,J3,0,0,0,0.0,0.0,0.00017454250030544938
49.0,J2,0,0,0,0.0,0.0,0.00034469833099541304
49.0,J3,0,0,0,0.0,0.0,0.00017290247682798056
50.0,J2,0,0,0,0.0,0.0,0.0003423768478003228
50.0,J3,0,0,0,0.0,0.0,0.00017209673189057655
51.0,J2,0,0,0,0.0,0.0,0.0003399394409607978
51.0,J3,0,0,0,0.0,0.0,0.0001704944999059719
52.0,J2,0,0,0,0.0,0.0,0.0003395687263609979
52.0,J3,0,0,0,0.0,0.0,0.00017207469463852227
53.0,J2,0,0,0,0.0,0.0,0.0003351991601360425
53.0,J3,0,0,0,0.0,0.0,0.00017051899215681673
54.0,J2,0,0,0,0.0,0.0,0.00033448365261521887
54.0,J3,0,0,0,0.0,0.0,0.00016840415924726697
55.0,J2,0,0,0,0.0,0.0,0.00033114139933693344
55.0,J3,0,0,0,0.0,0.0,0.00016635678637831491
56.0,J2,0,0,0,0.0,0.0,0.0003261261981489483
56.0,J3,0,0,0,0.0,0.0,0.00016478327829994358
57.0,J2,0,0,0,0.0,0.0,0.00032208400049267154
57.0,J3,0,0,0,0.0,0.0,0.00015992786023289187
58.0,J2,0,0,0,0.0,0.0,0.0003204509270657277
58.0,J3,0,0,0,0.0,0.0,0.00015827368207296715
59.0,J2,0,0,0,0.0,0.0,0.00031422686831396665
59.0,J3,0,0,0,0.0,0.0,0.00015609205833781107
60.0,J2,0,0,0,0.0,0.0,0.0003116670360914928
60.0,J3,0,0,0,0.0,0.0,0.0001562262043045377
61.0,J2,0,0,0,0.0,0.0,0.0003063075927765911
61.0,J3,0,0,0,0.0,0.0,0.00015410518795387518
62.0,J2,0,0,0,0.0,0.0,0.0003030798180466901
62.0,J3,0,0,0,0.0,0.0,0.00015113082189364288
63.0,J2,0,0,0,0.0,0.0,0.0002983256981025668
63.0,J3,0,0,0,0.0,0.0,0.00014852046060737212
64.0,J2,0,0,0,0.0,0.0,0.000295842740504786
64.0,J3,0,0,0,0.0,0.0,0.00014802551781702462
65.0,J2,0,0,0,0.0,0.0,0.00029075248758904295
65.0,J3,0,0,0,0.0,0.0,0.00014524390910319795
66.0,J2,0,0,0,0.0,0.0,0.0002873493740619298
66.0,J3,0,0,0,0.0,0.0,0.00014494416629927346
67.0,J2,0,0,0,0.0,0.0,0.00028259638925646954
67.0,J3,0,0,0,0.0,0.0,0.00014229619222594475
68.0,J2,0,0,0,0.0,0.0,0.00027916169359841605
68.0,J3,0,0,0,0.0,0.0,0.0001418678097574497
69.0,J2,0,0,0,0.0,0.0,0.0002737476047084588
69.0,J3,0,0,0,0.0,0.0,0.000139309204188761
70.0,J2,0,0,0,0.0,0.0,0.0002705773233210143
70.0,J3,0,0,0,0.0,0.0,0.00013621602548716718
71.0,J2,0,0,0,0.0,0.0,0.0002652488248721477
71.0,J3,0,0,0,0.0,0.0,0.0001335146377342566
72.0,J2,0,0,0,0.0,0.0,0.00026206652558752037
72.0,J3,0,0,0,0.0,0.0,0.0001309391494963079
73.0,J2,0,0,0,0.0,0.0,0.000256685882612726
73.0,J3,0,0,0,0.0,0.0,0.0001284334000017174
74.0,J2,0,0,0,0.0,0.0,0.0002545585165937391
74.0,J3,0,0,0,0.0,0.0,0.00012772917073735552
75.0,J2,0,0,0,0.0,0.0,0.0002527121808324129
75.0,J3,0,0,0,0.0,0.0,0.00012696769233413267
76.0,J2,0,0,0,0.0,0.0,0.0002494273733593846
76.0,J3,0,0,0,0.0,0.0,0.00012599682215582605
77.0,J2,0,0,0,0.0,0.0,0.00024647344471948014
77.0,J3,0,0,0,0.0,0.0,0.0001236496483093225
78.0,J2,0,0,0,0.0,0.0,0.00024298746833057978
78.0,J3,0,0,0,0.0,0.0,0.00012125609769007134
79.0,J2,0,0,0,0.0,0.0,0.0002397230420542708
79.0,J3,0,0,0,0.0,0.0,0.0001188507197624479
80.0,J2,0,0,0,0.0,0.0,0.0002375321318115965
80.0,J3,0,0,0,0.0,0.0,0.00011778858278287306
81.0,J2,0,0,0,0.0,0.0,0.00023431361379713727
81.0,J3,0,0,0,0.0,0.0,0.00011561796186661385
82.0,J2,0,0,0,0.0,0.0,0.00023097184111076354
82.0,J3,0,0,0,0.0,0.0,0.00011456774473394491
83.0,J2,0,0,0,0.0,0.0,0.00022807797883558293
83.0,J3,0,0,0,0.0,0.0,0.00011245101387329762
84.0,J2,0,0,0,0.0,0.0,0.0002262508033250249
84.0,J3,0,0,0,0.0,0.0,0.0001111757168545617
85.0,J2,0,0,0,0.0,0.0,0.00022337836602784295
85.0,J3,0,0,0,0.0,0.0,0.00011018464696027778
86.0,J2,0,0,0,0.0,0.0,0.0002216060272763906
86.0,J3,0,0,0,0.0,0.0,0.00010845114454144513
87.0,J2,0,0,0,0.0,0.0,0.0002196624924189199
87.0,J3,0,0,0,0.0,0.0,0.00010642979519442248
88.0,J2,0,0,0,0.0,0.0,0.00021641082525945227
88.0,J3,0,0,0,0.0,0.0,0.00010562688110286975
89.0,J2,0,0,0,0.0,0.0,0.00021448280523861973
89.0,J3,0,0,0,0.0,0.0,0.00010449726296654405
90.0,J2,0,0,0,0.0,0.0,0.000211160839097259
90.0,J3,0,0,0,0.0,0.0,0.00010359636131411985
91.0,J2,0,0,0,0.0,0.0,0.0002083082714747695
91.0,J3,0,0,0,0.0,0.0,0.00010277951164480816992.0,J2,0,0,0,0.0,0.0,0.0002077619610838428
92.0,J3,0,0,0,0.0,0.0,0.00010177754263491322
93.0,J2,0,0,0,0.0,0.0,0.00020632566534811562
93.0,J3,0,0,0,0.0,0.0,9.966391576188998e-05
94.0,J2,0,0,0,0.0,0.0,0.0002041404388816513
94.0,J3,0,0,0,0.0,0.0,9.877102078531682e-05
95.0,J2,0,0,0,0.0,0.0,0.00020201166493946364
95.0,J3,0,0,0,0.0,0.0,9.690681728604465e-05
96.0,J2,0,0,0,0.0,0.0,0.00019987173615700846
96.0,J3,0,0,0,0.0,0.0,9.60415698647677e-05
97.0,J2,0,0,0,0.0,0.0,0.00019800401472790542
97.0,J3,0,0,0,0.0,0.0,9.42779988821323e-05
98.0,J2,0,0,0,0.0,0.0,0.0001960089657235931
98.0,J3,0,0,0,0.0,0.0,9.3497716778466e-05
99.0,J2,0,0,0,0.0,0.0,0.00019401578563600934
99.0,J3,0,0,0,0.0,0.0,9.199419619627086e-05
100.0,J2,0,0,0,0.0,0.0,0.00019205794504233327
100.0,J3,0,0,0,0.0,0.0,9.036114858367555e-05
101.0,J2,0,0,0,0.0,0.0,0.00018952523422075736
101.0,J3,0,0,0,0.0,0.0,8.949248474195349e-05
102.0,J2,0,0,0,0.0,0.0,0.00018757319351603313
102.0,J3,0,0,0,0.0,0.0,8.880833710919801e-05
103.0,J2,0,0,0,0.0,0.0,0.00018569286368164584
103.0,J3,0,0,0,0.0,0.0,8.814644276826799e-05
104.0,J2,0,0,0,0.0,0.0,0.0001832313628032797
104.0,J3,0,0,0,0.0,0.0,8.74211757630205e-05
105.0,J2,0,0,0,0.0,0.0,0.000180770077466106
105.0,J3,0,0,0,0.0,0.0,8.66772874419465e-05
106.0,J2,0,0,0,0.0,0.0,0.00017882419503320284
106.0,J3,0,0,0,0.0,0.0,8.594164995412958e-05
107.0,J2,0,0,0,0.0,0.0,0.00017737575200535977
107.0,J3,0,0,0,0.0,0.0,8.442347515019068e-05
108.0,J2,0,0,0,0.0,0.0,0.00017548241653377397
108.0,J3,0,0,0,0.0,0.0,8.35143759968017e-05
109.0,J2,0,0,0,0.0,0.0,0.00017428926435070723
109.0,J3,0,0,0,0.0,0.0,8.26011103532787e-05
110.0,J2,0,0,0,0.0,0.0,0.0001726121121091939
110.0,J3,0,0,0,0.0,0.0,8.17345065329998e-05
111.0,J2,0,0,0,0.0,0.0,0.00017118916760491923
111.0,J3,0,0,0,0.0,0.0,8.046884750478413e-05
112.0,J2,0,0,0,0.0,0.0,0.00016946742855427854
112.0,J3,0,0,0,0.0,0.0,7.914305145345826e-05
113.0,J2,0,0,0,0.0,0.0,0.00016805191565916596
113.0,J3,0,0,0,0.0,0.0,7.78051962503453e-05
114.0,J2,0,0,0,0.0,0.0,0.00016625912404029175
114.0,J3,0,0,0,0.0,0.0,7.687058017299211e-05
115.0,J2,0,0,0,0.0,0.0,0.0001648365352950809
115.0,J3,0,0,0,0.0,0.0,7.588308031344771e-05
116.0,J2,0,0,0,0.0,0.0,0.00016295087684043308
116.0,J3,0,0,0,0.0,0.0,7.503934861140744e-05
117.0,J2,0,0,0,0.0,0.0,0.00016063623866466144
117.0,J3,0,0,0,0.0,0.0,7.3994166144164e-05
118.0,J2,0,0,0,0.0,0.0,0.00015894488298562605
118.0,J3,0,0,0,0.0,0.0,7.302753629435055e-05
119.0,J2,0,0,0,0.0,0.0,0.00015744620297506858
119.0,J3,0,0,0,0.0,0.0,7.221762798532207e-05
120.0,J2,0,0,0,0.0,0.0,0.0001557235769012799
120.0,J3,0,0,0,0.0,0.0,7.160443917687713e-05
121.0,J2,0,0,0,0.0,0.0,0.00015401756968200117
121.0,J3,0,0,0,0.0,0.0,7.099043224103972e-05
122.0,J2,0,0,0,0.0,0.0,0.00015253391607959656
122.0,J3,0,0,0,0.0,0.0,7.022418868096314e-05
123.0,J2,0,0,0,0.0,0.0,0.00015132298813791474
123.0,J3,0,0,0,0.0,0.0,6.945547704336816e-05
124.0,J2,0,0,0,0.0,0.0,0.0001499434997634453
124.0,J3,0,0,0,0.0,0.0,6.874319351932588e-05
125.0,J2,0,0,0,0.0,0.0,0.00014857189214962578
125.0,J3,0,0,0,0.0,0.0,6.809812365758466e-05
126.0,J2,0,0,0,0.0,0.0,0.000146899796362615
126.0,J3,0,0,0,0.0,0.0,6.739568201481638e-05
127.0,J2,0,0,0,0.0,0.0,0.0001455403446828496
127.0,J3,0,0,0,0.0,0.0,6.651569591519313e-05
128.0,J2,0,0,0,0.0,0.0,0.00014451938575481594
128.0,J3,0,0,0,0.0,0.0,6.567534087975988e-05
129.0,J2,0,0,0,0.0,0.0,0.00014331000550193865
129.0,J3,0,0,0,0.0,0.0,6.523928294700761e-05
130.0,J2,0,0,0,0.0,0.0,0.0001421235353368072
130.0,J3,0,0,0,0.0,0.0,6.480762920956092e-05
131.0,J2,0,0,0,0.0,0.0,0.00014057467232196958
131.0,J3,0,0,0,0.0,0.0,6.402322997450294e-05
132.0,J2,0,0,0,0.0,0.0,0.00014009778975919367
132.0,J3,0,0,0,0.0,0.0,6.34843674541926e-05
133.0,J2,0,0,0,0.0,0.0,0.00013929523489918046
133.0,J3,0,0,0,0.0,0.0,6.263411581219951e-05
134.0,J2,0,0,0,0.0,0.0,0.00013829844563630257
134.0,J3,0,0,0,0.0,0.0,6.174839992150164e-05
135.0,J2,0,0,0,0.0,0.0,0.00013727003817132642
135.0,J3,0,0,0,0.0,0.0,6.128669886177113e-05
136.0,J2,0,0,0,0.0,0.0,0.00013621378851014598
136.0,J3,0,0,0,0.0,0.0,6.092397014074367e-05
137.0,J2,0,0,0,0.0,0.0,0.00013544153865252618
137.0,J3,0,0,0,0.0,0.0,6.068542006447769e-05
138.0,J2,0,0,0,0.0,0.0,0.00012996986206097137
138.0,J3,0,0,0,0.0,0.0,5.816453304962369e-05
139.0,J2,0,0,0,0.0,0.0,0.00012903565972776398
139.0,J3,0,0,0,0.0,0.0,5.784689167350274e-05
140.0,J2,0,0,0,0.0,0.0,0.0001281823746289776
140.0,J3,0,0,0,0.0,0.0,5.72100789856653e-05
141.0,J2,0,0,0,0.0,0.0,0.00012737339964298167
141.0,J3,0,0,0,0.0,0.0,5.6877218444481245e-05
142.0,J2,0,0,0,0.0,0.0,0.00012701081742828006
142.0,J3,0,0,0,0.0,0.0,5.634880180533939e-05
143.0,J2,0,0,0,0.0,0.0,0.00012641194692927053
143.0,J3,0,0,0,0.0,0.0,5.591329773945155e-05
144.0,J2,0,0,0,0.0,0.0,0.00012558137567390931
144.0,J3,0,0,0,0.0,0.0,5.5576753876131644e-05
145.0,J2,0,0,0,0.0,0.0,0.00012486494133757774
145.0,J3,0,0,0,0.0,0.0,5.503041488699716e-05
146.0,J2,0,0,0,0.0,0.0,0.00012416014461926996
146.0,J3,0,0,0,0.0,0.0,5.4587992311441836e-05
147.0,J2,0,0,0,0.0,0.0,0.0001233827381282098
147.0,J3,0,0,0,0.0,0.0,5.4371575983233044e-05
148.0,J2,0,0,0,0.0,0.0,0.00012286447205055116
148.0,J3,0,0,0,0.0,0.0,5.3924204313373986e-05
149.0,J2,0,0,0,0.0,0.0,0.00012227839570251283
149.0,J3,0,0,0,0.0,0.0,5.372769668315673e-05
150.0,J2,0,0,0,0.0,0.0,0.00012179463511387464
150.0,J3,0,0,0,0.0,0.0,5.330397857850168e-05
151.0,J2,0,0,0,0.0,0.0,0.00012140772132672675
151.0,J3,0,0,0,0.0,0.0,5.306204665902605e-05
152.0,J2,0,0,0,0.0,0.0,0.00012108045790492466
152.0,J3,0,0,0,0.0,0.0,5.2638725295405915e-05
153.0,J2,0,0,0,0.0,0.0,0.00012130826569323132
153.0,J3,0,0,0,0.0,0.0,5.2733759086173176e-05
154.0,J2,0,0,0,0.0,0.0,0.00012073653800617867
154.0,J3,0,0,0,0.0,0.0,5.2579039484487104e-05
155.0,J2,0,0,0,0.0,0.0,0.00012045986538881349
155.0,J3,0,0,0,0.0,0.0,5.2425507807859944e-05
156.0,J2,0,0,0,0.0,0.0,0.000119833714789894
156.0,J3,0,0,0,0.0,0.0,5.2211427412499204e-05
157.0,J2,0,0,0,0.0,0.0,0.00011921655623404867
157.0,J3,0,0,0,0.0,0.0,5.2055441104724465e-05
158.0,J2,0,0,0,0.0,0.0,0.00011890591372866992
158.0,J3,0,0,0,0.0,0.0,5.1879449983203825e-05
159.0,J2,0,0,0,0.0,0.0,0.00011839395179768006
159.0,J3,0,0,0,0.0,0.0,5.1687810840222054e-05
160.0,J2,0,0,0,0.0,0.0,0.00011794766556414117
160.0,J3,0,0,0,0.0,0.0,5.142906020766293e-05
161.0,J2,0,0,0,0.0,0.0,0.00011737569545893712
161.0,J3,0,0,0,0.0,0.0,5.097753526422615e-05
162.0,J2,0,0,0,0.0,0.0,0.00011688009121034035
162.0,J3,0,0,0,0.0,0.0,5.0755756875120525e-05
163.0,J2,0,0,0,0.0,0.0,0.00011606557674190023
163.0,J3,0,0,0,0.0,0.0,5.050799666183846e-05
164.0,J2,0,0,0,0.0,0.0,0.00011575593380123618
164.0,J3,0,0,0,0.0,0.0,5.029319560015394e-05
165.0,J2,0,0,0,0.0,0.0,0.00011518905378323672
165.0,J3,0,0,0,0.0,0.0,4.989842178779161e-05
166.0,J2,0,0,0,0.0,0.0,0.00011490783686344709
166.0,J3,0,0,0,0.0,0.0,4.9700328369721986e-05
167.0,J2,0,0,0,0.0,0.0,0.00011458689169125347
167.0,J3,0,0,0,0.0,0.0,4.953662168872207e-05
168.0,J2,0,0,0,0.0,0.0,0.00011433959645686902
168.0,J3,0,0,0,0.0,0.0,4.9405131190744146e-05
169.0,J2,0,0,0,0.0,0.0,0.00011407321054663653
169.0,J3,0,0,0,0.0,0.0,4.904660918928256e-05
170.0,J2,0,0,0,0.0,0.0,0.00011365291649484555
170.0,J3,0,0,0,0.0,0.0,4.886497135835577e-05
171.0,J2,0,0,0,0.0,0.0,0.00011301814224079017
171.0,J3,0,0,0,0.0,0.0,4.843702690910614e-05
172.0,J2,0,0,0,0.0,0.0,0.0001125206237729173
172.0,J3,0,0,0,0.0,0.0,4.830296656020292e-05
173.0,J2,0,0,0,0.0,0.0,0.00011227562375422784
173.0,J3,0,0,0,0.0,0.0,4.82163187170031e-05
174.0,J2,0,0,0,0.0,0.0,0.00011187448760035879
174.0,J3,0,0,0,0.0,0.0,4.80762200936599e-05
175.0,J2,0,0,0,0.0,0.0,0.00011142365299158641
