RSU_ID,Tier,Vehicles_Served,Computations,Cache_Hit_Rate,Avg_Latency_MS,Warnings_Issued,Routes_Computed,Emergencies_Handled
RSU_E1_0_TIER2,2,203,203,0.00%,0.00,577,0,9
RSU_E2_0_TIER2,2,300,300,0.00%,0.00,979,0,17
RSU_E3_0_TIER2,2,286,286,0.00%,0.00,837,0,11
RSU_E4_0_TIER2,2,181,181,0.00%,0.00,467,0,9
RSU_E5_0_TIER2,2,300,300,0.00%,0.00,654,0,17
RSU_E6_0_TIER2,2,299,299,0.00%,0.00,932,0,17
RSU_E7_0_TIER2,2,288,288,0.00%,0.00,514,0,11
RSU_E8_0_TIER2,2,285,285,0.00%,0.00,815,0,11
RSU_GAP0_TIER3,3,304,304,0.00%,0.00,635,0,17
RSU_GAP1_TIER3,3,181,181,0.00%,0.00,379,0,9
RSU_GAP2_TIER3,3,182,182,0.00%,0.00,469,0,9
RSU_J0_TIER1,1,303,303,0.00%,0.00,918,0,17
RSU_J1_TIER1,1,286,286,0.00%,0.00,826,0,11
