episode,reward,rolling_avg
1,65320.2457,65320.2457
2,73019.4998,69169.8727
3,145527.2960,94622.3472
4,175617.4799,114871.1304
5,273041.7697,146505.2582
6,274966.5861,167915.4795
7,299017.4596,186644.3338
8,275669.3340,197772.4589
9,209600.8688,199086.7266
10,211920.7188,200370.1259
11,142479.7191,208086.0732
12,314385.1587,232222.6391
13,232705.6372,240940.4732
14,196036.1566,242982.3409
15,241250.7011,239803.2340
16,303489.2053,242655.4959
17,188629.4647,231616.6964
18,120136.0897,216063.3720
19,191797.7910,214283.0642
20,256625.9037,218753.5827
21,177327.5319,222238.3640
22,136305.3380,204430.3819
23,292421.0661,210401.9248
24,254880.3543,216286.3446
25,259755.3193,218136.8064
26,278270.7502,215614.9609
27,-61266.2520,190625.3892
28,99243.2847,188536.1087
29,96246.7637,178981.0060
30,243246.5906,177643.0747
31,124516.2893,172361.9504
32,320840.2192,190815.4385
33,138798.8780,175453.2197
34,144827.0082,164447.8851
35,241898.6943,162662.2226
36,151196.6171,149954.8093
37,156763.9020,171757.8247
38,139602.2272,175793.7190
39,118113.6550,177980.4081
40,174949.0143,171150.6505
41,167374.8443,175436.5060
42,48117.5431,148164.2384
43,80323.4045,142316.6910
44,181362.3862,145970.2288
45,162038.6619,137984.2256
46,139285.2259,136793.0865
47,222092.6130,143325.9576
48,246566.2480,154022.3596
49,204857.2998,162696.7241
50,173910.3819,162592.8609
51,282843.9772,174139.7741
52,274143.2741,196742.3472
53,185197.4211,207229.7489
54,78265.8350,196920.0938
55,35747.1539,184290.9430
56,233245.2789,193686.9483
57,214799.9818,192957.6852
58,147580.0951,183059.0699
59,229019.7531,185475.3152
60,182829.9519,186367.2722
61,242192.2968,182302.1042
62,153223.6800,170210.1448
63,198985.7517,171588.9778
64,151237.5238,178886.1467
65,-162196.3942,159091.7919
66,197819.5600,155549.2200
67,249989.5128,159068.1731
68,285405.2864,172850.6922
69,157132.8792,165662.0048
70,182392.2327,165618.2329
71,204315.8769,161830.5909
72,291866.8241,175694.9053
73,277617.7349,183558.1037
74,327334.6288,201167.8142
75,303040.5791,247691.5115
76,292647.3568,257174.2912
77,309816.7446,263157.0143
78,299802.3112,264596.7168
79,268245.9053,275708.0194
80,272981.4659,284766.9428
81,324078.6614,296743.2212
82,231565.7944,290713.1182
83,281239.1599,291075.2607
84,297750.3543,288116.8333
85,294500.0758,287262.7830
86,267901.4222,284788.1895
87,302318.5245,284038.3675
88,290905.6023,283148.6966
89,260806.7872,282404.7848
90,299535.6347,285060.2017
91,302678.9221,282920.2277
92,232604.8657,283024.1349
93,333806.7344,288280.8923
94,288647.7389,287370.6308
95,354883.2249,293408.9457
96,303631.7815,296981.9816
97,296611.6873,296411.2979
98,169086.6268,284229.4004
99,314746.9538,289623.4170
100,313657.0330,291035.5568
101,355712.6397,296338.9286
102,274747.9608,300553.2381
103,301910.9470,297363.6594
104,343720.0442,302870.8899
105,240956.2180,291478.1892
106,320393.7278,293154.3839
107,350571.2787,298550.3430
108,297919.8496,311433.6653
109,315247.3109,311483.7010
110,266709.2383,306788.9215
111,314146.5058,302632.3081
112,292113.9352,304368.9055
113,180667.8489,292244.5957
114,194892.2918,277361.8205
115,311263.8096,284392.5797
116,337972.6320,286150.4701
117,342717.9823,285365.1404
118,267372.4171,282310.3972
119,299818.0707,280767.4732
120,226330.7929,276729.6286
121,284076.9881,273722.6769
122,320101.8123,276521.4646
123,280258.7641,286480.5561
124,314660.2020,298457.3471
125,346208.4138,301951.8075
126,329803.7117,301134.9155
127,211414.6153,288004.5788
128,288501.1029,290117.4474
129,249114.1555,285047.0559
130,329411.8162,295355.1582
131,312428.8227,298190.3416
132,246880.9179,290868.2522
133,200098.9679,282852.2726
134,175568.2776,268943.0801
135,336920.1690,268014.2557
136,347370.1565,269770.9001
137,266246.0289,275254.0415
138,343530.3037,280756.9616
139,324602.0229,288305.7483
140,274364.5900,282801.0257
141,299338.1330,281491.9567
142,281911.7978,284995.0447
143,220850.5008,287070.1980
144,326077.1900,302121.0893
145,323425.2750,300771.5999
146,339660.6417,300000.6484
147,252690.6667,298645.1122
148,235160.3491,287808.1167
149,335133.2378,288861.2382
150,270126.1218,288437.3914
151,347310.6834,293234.6464
152,334091.0785,298452.5745
153,351081.7430,311475.6987
154,346933.6150,313561.3412
155,342050.3684,315423.8505
156,285019.6821,309959.7546
157,275494.5459,312240.1425
158,171828.6487,305906.9724
159,255002.5441,297893.9031
160,324280.2947,303309.3204
161,377545.6002,306332.8120
162,281907.1616,301114.4204
163,222130.1736,288219.2634
164,318680.3857,285393.9405
165,272241.1861,278413.0223
166,300207.4831,279931.8024
167,345611.5147,286943.4993
168,298991.9630,299659.8307
169,242057.8766,298365.3639
170,207967.6182,286734.0963
171,347421.3887,283721.6751
172,342466.5057,289777.6095
173,298638.9971,297428.4919
174,334157.4277,298976.1961
175,318965.7728,303648.6548
176,371990.2329,310826.9297
177,284341.9898,304699.9773
178,317945.8607,306595.3670
179,369662.7651,319355.8559
180,350807.9569,333639.8897
181,357443.5076,334642.1016
182,192742.7248,319669.7236
183,246446.8239,314450.5062
184,370125.8562,318047.3491
185,340607.4601,320211.5178
186,267608.4202,309773.3365
187,370149.5849,318354.0960
188,330974.0025,319656.9102
189,344405.3338,317131.1671
190,296572.3529,311707.6067
191,348303.4048,310793.5964
192,142238.0942,305743.1333
193,344004.2630,315498.8773
194,279489.6802,306435.2596
195,360038.4652,308378.3602
196,238228.8266,305440.4008
197,298500.6570,298275.5080
198,336802.2678,298858.3345
199,307692.6670,295187.0679
200,314112.3660,296941.0692
