#{"t_start": 1772643061.6445289, "env_id": "None"}
r,l,t
65320.246,1000,20.255186
73019.5,1000,46.953885
145527.296,1000,72.3225
175617.48,1000,97.127671
273041.77,1000,120.534911
274966.586,1000,144.337091
299017.46,1000,167.26211
275669.334,1000,190.70137
209600.869,1000,215.094659
211920.719,1000,239.369557
142479.719,1000,264.85058
314385.159,1000,287.790959
232705.637,1000,311.765216
196036.157,1000,336.143044
241250.701,1000,360.414657
303489.205,1000,383.481306
188629.465,1000,407.571355
120136.09,1000,432.609362
191797.791,1000,457.328773
256625.904,1000,481.231476
177327.532,1000,506.154025
136305.338,1000,531.466328
292421.066,1000,554.701044
254880.354,1000,578.64595
259755.319,1000,602.205877
278270.75,1000,625.833555
-61266.252,1000,655.006954
99243.285,1000,680.98091
96246.764,1000,707.548751
243246.59,1000,731.717547
124516.289,1000,757.390367
320840.219,1000,779.945968
138798.878,1000,805.028482
144827.008,1000,830.090879
241898.695,1000,853.61826
151196.617,1000,878.457169
156763.902,1000,904.085034
139602.227,1000,928.8044
118113.655,1000,955.235199
174949.014,1000,980.340128
167374.844,1000,1004.397792
48117.543,1000,1032.196008
80323.404,1000,1058.721653
181362.386,1000,1083.107571
162038.662,1000,1108.474739
139285.226,1000,1134.042298
222092.613,1000,1158.412402
246566.248,1000,1182.164821
204857.3,1000,1207.961499
173910.382,1000,1236.329446
282843.977,1000,1262.242298
274143.274,1000,1287.371178
185197.421,1000,1312.673806
78265.835,1000,1339.19052
35747.154,1000,1367.502112
233245.279,1000,1391.544516
214799.982,1000,1416.826071
147580.095,1000,1444.324241
229019.753,1000,1469.434008
182829.952,1000,1498.220636
242192.296,1000,1525.416573
153223.68,1000,1552.653862
198985.752,1000,1579.018592
151237.524,1000,1608.645002
-162196.394,1000,1639.27781
197819.56,1000,1665.020076
249989.513,1000,1690.024448
285405.286,1000,1716.013225
157132.879,1000,1741.796743
182392.233,1000,1766.604749
204315.877,1000,1794.543802
291866.824,1000,1818.824983
277617.735,1000,1842.744092
327334.628,1000,1867.372985
303040.579,1000,1890.411662
292647.357,1000,1913.822946
309816.745,1000,1937.916871
299802.311,1000,1961.969591
268245.906,1000,1984.891219
272981.466,1000,2010.313249
324078.662,1000,2034.389085
231565.794,1000,2062.112853
281239.16,1000,2085.842887
297750.354,1000,2110.511175
294500.076,1000,2135.402313
267901.422,1000,2160.251589
302318.525,1000,2183.715601
290905.602,1000,2207.409859
260806.787,1000,2231.150124
299535.635,1000,2254.644164
302678.922,1000,2277.541256
232604.866,1000,2302.341286
333806.734,1000,2326.530928
288647.739,1000,2349.589427
354883.225,1000,2373.050907
303631.782,1000,2395.612472
296611.687,1000,2419.146854
169086.627,1000,2444.715028
314746.954,1000,2467.835082
313657.033,1000,2491.65769
355712.64,1000,2514.720248
274747.961,1000,2538.591734
301910.947,1000,2562.462558
343720.044,1000,2586.132549
240956.218,1000,2612.197004
320393.727,1000,2636.098727
350571.279,1000,2660.480435
297919.85,1000,2685.789102
315247.311,1000,2710.669688
266709.238,1000,2734.360293
314146.506,1000,2757.856499
292113.935,1000,2781.615357
180667.849,1000,2809.214243
194892.292,1000,2835.438221
311263.81,1000,2861.144003
337972.632,1000,2885.778942
342717.982,1000,2912.869101
267372.417,1000,2939.924419
299818.071,1000,2964.160608
226330.793,1000,2989.008667
284076.988,1000,3012.7937
320101.812,1000,3037.133656
280258.764,1000,3061.93949
314660.202,1000,3086.806524
346208.414,1000,3110.924353
329803.711,1000,3135.848541
211414.615,1000,3161.923714
288501.103,1000,3187.657258
249114.155,1000,3211.700461
329411.817,1000,3235.790554
312428.823,1000,3259.849349
246880.918,1000,3283.35066
200098.968,1000,3308.404977
175568.277,1000,3334.901523
336920.169,1000,3359.917772
347370.157,1000,3383.889284
266246.029,1000,3408.227183
343530.304,1000,3432.461704
324602.023,1000,3457.61458
274364.59,1000,3483.021911
299338.133,1000,3507.031656
281911.798,1000,3532.110501
220850.501,1000,3556.52205
326077.19,1000,3580.642156
323425.275,1000,3604.81804
339660.642,1000,3628.081179
252690.667,1000,3653.535668
235160.349,1000,3678.331502
335133.238,1000,3702.078631
270126.122,1000,3725.283801
347310.683,1000,3748.441479
334091.079,1000,3772.442346
351081.743,1000,3795.328828
346933.615,1000,3819.341184
342050.368,1000,3844.265482
285019.682,1000,3870.486892
275494.546,1000,3895.30405
171828.649,1000,3921.692463
255002.544,1000,3947.431893
324280.294,1000,3972.465211
377545.6,1000,3995.463744
281907.161,1000,4019.961192
222130.174,1000,4044.394062
318680.385,1000,4067.474704
272241.186,1000,4090.598817
300207.483,1000,4114.103508
345611.515,1000,4137.693139
298991.963,1000,4161.821609
242057.877,1000,4185.620573
207967.618,1000,4209.775377
347421.389,1000,4233.416955
342466.506,1000,4257.062824
298638.997,1000,4280.856869
334157.428,1000,4304.652458
318965.773,1000,4327.905659
371990.233,1000,4352.57188
284341.99,1000,4377.050887
317945.861,1000,4400.539445
369662.765,1000,4423.232393
350807.957,1000,4446.75801
357443.508,1000,4469.83969
192742.725,1000,4495.263308
246446.824,1000,4520.938514
370125.856,1000,4545.179379
340607.46,1000,4568.427522
267608.421,1000,4591.982392
370149.585,1000,4615.251961
330974.003,1000,4638.327734
344405.334,1000,4662.138349
296572.353,1000,4685.466511
348303.405,1000,4708.353405
142238.094,1000,4734.207651
344004.263,1000,4757.593011
279489.68,1000,4781.554379
360038.465,1000,4805.426689
238228.826,1000,4829.365953
298500.657,1000,4854.179638
336802.268,1000,4877.007233
307692.667,1000,4900.198968
314112.366,1000,4923.312914
