episode,reward,rolling_avg
1,-58829.1053,-58829.1053
2,42544.0829,-8142.5112
3,-53706.7193,-23330.5806
4,-74876.8655,-36217.1518
5,-15454.0086,-32064.5232
6,-42805.1097,-33854.6209
7,-131576.6304,-47814.9080
8,-42756.9292,-47182.6607
9,171433.5337,-22891.9724
10,-30238.9924,-23626.6744
11,65249.0686,-11218.8570
12,31756.2542,-12297.6399
13,124280.4860,5501.0807
14,-99134.1959,3075.3476
15,-26604.6677,1960.2817
16,3370.0595,6577.7986
17,-33589.4201,16376.5197
18,-69777.6776,13674.4448
19,-71889.9965,-10657.9082
20,1437.4058,-7490.2684
21,-88600.7613,-22875.2513
22,67391.0637,-19311.7704
23,-133570.5517,-45096.8742
24,29956.7880,-32187.7758
25,-13027.7588,-30830.0849
26,-124975.8902,-43664.6799
27,-10901.7104,-41395.9089
28,-73062.0798,-41724.3491
29,-133874.3659,-47922.7861
30,-39444.1702,-52010.9437
31,13949.3768,-41755.9299
32,34297.7960,-45065.2566
33,22704.8264,-29437.7188
34,-131701.5164,-45603.5492
35,-20366.0340,-46337.3768
36,-18265.8008,-35666.3678
37,-107737.2315,-45349.9199
38,-106191.5337,-48662.8653
39,-9472.2216,-36222.6509
40,-91240.5110,-41402.2850
41,-116281.2241,-54425.3451
42,44336.4011,-53421.4846
43,-21446.8031,-57836.6475
44,-82561.3867,-52922.6345
45,11246.5161,-49761.3795
46,42519.4615,-43682.8533
47,-81402.1267,-41049.3428
48,-9577.7212,-31387.9616
49,-40051.7139,-34445.9108
50,2329.8974,-25088.8700
51,-107870.3169,-24247.7792
52,-66954.1988,-35376.8392
53,-41631.6911,-37395.3280
54,6177.0784,-28521.4815
55,79957.6930,-21650.3638
56,-83332.5367,-34235.5637
57,54640.5529,-20631.2957
58,-105711.8709,-30244.7107
59,-50354.3207,-31274.9713
60,120944.3456,-19413.5265
61,-147335.7762,-23360.0725
62,-110378.8835,-27702.5409
63,-92193.3492,-32758.7067
64,-62367.6618,-39613.1807
65,25578.7008,-45051.0800
66,-21681.5045,-38885.9768
67,-28261.7676,-47176.2088
68,35761.9443,-33028.8273
69,-61156.4493,-34109.0401
70,-106791.6427,-56882.6390
71,-29658.1767,-45114.8790
72,-101576.9767,-44234.6883
73,105206.1475,-24494.7387
74,-112127.1071,-29470.6832
75,12291.8378,-30799.3695
76,134669.8414,-15164.2349
77,-35736.0851,-15911.6667
78,-129178.5714,-32405.7182
79,28884.4768,-23401.6256
80,-86783.4219,-21400.8036
81,55820.6148,-12852.9244
82,-154696.7839,-18164.9051
83,-23023.3622,-30987.8561
84,-99854.0375,-29760.5491
85,-5826.8504,-31572.4179
86,33610.8039,-41678.3217
87,-76954.4475,-45800.1579
88,19273.1231,-30954.9885
89,-102201.8524,-44063.6214
90,43188.9095,-31066.3883
91,-79316.8597,-44580.1357
92,-91306.5079,-38241.1081
93,-139085.8933,-49847.3612
94,-78987.6816,-47760.7256
95,-24542.0387,-49632.2445
96,7821.4163,-52211.1832
97,60982.9392,-38417.4445
98,22166.5772,-38128.0991
99,-111430.5093,-39050.9648
100,82437.4565,-35126.1101
101,135316.1953,-13662.8046
102,-67964.6683,-11328.6206
103,-88027.0798,-6222.7393
104,-43539.3614,-2677.9073
105,88181.5661,8594.4532
106,26546.4764,10466.9592
107,-115485.3333,-7179.8681
108,-73819.1127,-16778.4371
109,18768.0192,-3758.5842
110,51357.1251,-6866.6174
111,56525.2870,-14745.7082
112,74814.5095,-467.7904
113,-55922.9124,2742.6263
114,66726.8112,13769.2436
115,28892.0702,7840.2940
116,-123368.2979,-7151.1834
117,20061.8995,6403.5399
118,78937.6546,21679.2166
119,-49973.9505,14805.0196
120,-80557.9429,1613.5128
121,36963.4478,-342.6711
122,-88888.4813,-16712.9702
123,-29812.0600,-14101.8849
124,-2091.2416,-20983.6902
125,-122065.0603,-36079.4033
126,107878.4932,-12954.7242
127,-82587.3870,-23219.6528
128,-81391.5643,-39252.5747
129,39090.2116,-30346.1585
130,79795.2582,-14310.8384
131,-18621.0671,-19869.2899
132,-124546.8970,-23435.1314
133,-30979.8977,-23551.9152
134,-163722.9362,-39715.0847
135,-115184.2104,-39026.9997
136,-73501.7512,-57165.0241
137,94095.2989,-39496.7555
138,-57519.2100,-37109.5201
139,-71214.6281,-48140.0041
140,-83468.0817,-64466.3381
141,73535.8498,-55250.6464
142,-77471.6132,-50543.1180
143,-67819.8405,-54227.1123
144,50573.7023,-32797.4484
145,58514.0823,-15427.6191
146,-42747.5113,-12352.1952
147,-73115.4149,-29073.2665
148,58826.9525,-17438.6503
149,-92519.8511,-19569.1726
150,10475.5863,-10174.8058
151,-74765.4427,-25004.9350
152,33136.9342,-13944.0803
153,-63980.0236,-13560.0986
154,96366.4369,-8980.8251
155,-100309.8641,-24863.2198
156,44604.0800,-16128.0607
157,128005.0864,3983.9895
158,-50680.8913,-6966.7949
159,-49897.6387,-2704.5737
160,54432.8482,1691.1525
161,24833.9668,11651.0935
162,-62837.0503,2053.6950
163,-46292.8804,3822.4093
164,-45378.4779,-10352.0821
165,49977.0962,4676.6139
166,6766.4124,892.8471
167,-115072.2360,-23414.8851
168,79657.9844,-10380.9975
169,-79077.2969,-13298.9633
170,-83010.4661,-27043.2948
171,-30630.0315,-32589.6946
172,-118456.6097,-38151.6505
173,4007.5888,-33121.6036
174,-88879.4101,-37471.6968
175,-18951.6786,-44364.5743
176,-78556.3019,-52896.8458
177,-110355.6278,-52425.1849
178,-125083.8205,-72899.3654
179,111641.8710,-53827.4486
180,-48927.4438,-50419.1464
181,48346.5516,-42521.4881
182,35860.2569,-27089.8014
183,92031.3976,-18287.4206
184,40518.7394,-5347.6056
185,-36795.8011,-7132.0179
186,71356.1717,7859.2295
187,-62298.3118,12664.9611
188,-74825.4541,17690.7977
189,-106890.5627,-4162.4456
190,17773.0270,2507.6015
191,-5564.7611,-2883.5298
192,11506.9061,-5318.8649
193,-26838.3416,-17205.8388
194,-122628.3813,-33520.5509
195,17560.6932,-28084.9015
196,29900.5944,-32230.4592
197,-128080.5126,-38808.6793
198,138960.5947,-17430.0744
199,44300.1472,-2311.0034
200,126154.8669,8527.1806
201,-39982.5351,5085.4032
202,-12478.2493,2686.8876
203,-52672.9014,103.4317
204,-121611.7633,205.0935
205,45515.3427,3000.5584
206,-72050.0161,-7194.5026
207,-78218.2016,-2208.2715
208,-72815.5933,-23385.8903
209,-14953.8166,-29311.2867
210,65255.1209,-35401.2613
211,-122781.1691,-43681.1247
212,-38566.0463,-46289.9044
213,54379.6592,-35584.6484
214,38974.3136,-19526.0407
215,90300.8844,-15047.4865
216,-122141.3784,-20056.6227
217,-41260.9464,-16360.8972
218,7752.8841,-8304.0495
219,102396.7630,3431.0085
220,11039.8421,-1990.5194
221,-89417.0709,1345.8904
222,-2587.2113,4943.7739
223,-11831.5759,-1677.3496
224,64869.0227,912.1213
225,-8001.5520,-8918.1223
226,-33742.8998,-78.2744
227,-79288.9192,-3881.0717
228,51966.8282,540.3227
229,132136.4143,3514.2878
230,-117191.9066,-9308.8870
231,67938.6911,6426.6891
232,-77876.7514,-1102.2649
233,74607.3753,7541.6303
234,-111991.3015,-10144.4022
235,74407.6879,-1903.4782
236,69680.7871,8438.8905
237,-85827.0582,7785.0766
238,-15572.4307,1031.1507
239,91145.7329,-3067.9174
240,-8106.9543,7840.5778
241,17715.2513,2818.2338
242,-81571.5258,2448.7564
243,-82077.0609,-13219.6872
244,65678.1620,4547.2591
245,66368.9223,3743.3826
246,-118454.7697,-15070.1731
247,-134613.0864,-19948.7759
248,-120488.5865,-30440.3915
249,105943.1030,-28960.6545
250,-14988.2429,-29648.7834
251,-83549.4599,-39775.2545
252,90075.0980,-22610.5921
253,-37165.7476,-18119.4608
254,-100172.6454,-34704.5415
255,-85410.2222,-49882.4559
256,-55101.1755,-43547.0965
257,-101167.2253,-40202.5104
258,-14327.6676,-29586.4185
259,10848.4021,-39095.8886
260,-104003.3108,-47997.3954
261,-104755.6296,-50118.0124
262,-83580.0057,-67483.5228
263,-5127.8337,-64279.7314
264,-17531.1329,-56015.5801
265,-38803.8205,-51354.9400
266,40582.5380,-41786.5686
267,-11255.8912,-32795.4352
268,-25970.8680,-33959.7552
269,-134795.0862,-48524.1041
270,-52767.2191,-43400.4949
271,-15279.1681,-34452.8487
272,32303.9094,-22864.4572
273,38228.5479,-18528.8191
274,44892.2864,-12286.4771
275,-140963.0523,-22502.4003
276,2161.5905,-26344.4951
277,-84044.6363,-33623.3696
278,81919.8696,-22834.2958
279,49988.1186,-4355.9753
280,-54097.5112,-4489.0045
281,24007.3839,-560.3493
282,49841.2064,1193.3804
283,-90325.8305,-11662.0575
